category,year,rating,vader_compound,token_len,review_text,mismatch_type
Beauty,2019,5.0,-0.6776,19,No stinging. This is the only eye cream I've found that moisturizes my dry eyes without stinging. Love it.,high_star_low_vader
Beauty,2022,5.0,-0.9422,91,Clogs brush and is sticky. I normally don't write reviews but this acrylic is terrible. It is smooth but you have to work very wet or it will stick to the brush and clog it. Even with working very wet and wiping and cleaning the brush often it still messes up my brushes. I've been through three brushes all getting clogged. It is also not the best clarity. Will not buy again and just threw out almost a whole pot because it's so hard to work with. Not worth the money.,high_star_low_vader
Beauty,2018,5.0,-0.636,31,"Solves arguments with wives. She said the witch had blue eyes, I said no! They are green with a bit of gold... Sure enough, the packaging explained we are both wrong.",high_star_low_vader
Beauty,2015,5.0,-0.5697,31,Maybelline New York Eyeliner. I swear the first time I applied it I quite suck at it! I am still trying to learn how to apply it with my maybelline eyeliner.,high_star_low_vader
Beauty,2015,5.0,-0.7121,79,"Absolute must have!!!. This is my second time purchasing this cream and I look forward to many more. Where to even begin?? Color match is spot on. From my summer tan to winter pale, it covered all bases (though sometimes top powder was in order). When they say non clogging they mean it! Even fallen asleep without washing it if a few times and still swear by it! Pores=gone!!! Blemishes? Forget it! Is there anything this cream can't cover??",high_star_low_vader
Beauty,2016,5.0,-0.617,192,"Honestly, this stuff is life-changing.. Even before I was overweight, I had problems with painful chafing in my thigh area after long walks or running in the heat and humidity. I had no idea that products like this existed and used to just deal with the after-effects, which lasted hours or days after cleaning the area and keeping it dry with baby powder. Many years later, I finally broke down and Googled the problem, which led me to lots of solutions including this one. Now that I live in Florida, I use this stuff daily. It's unobtrusive, lasts all day between showers (and sometimes beyond... as I found out when I went camping not too long ago). It doesn't smell and is not oily. I have not had a single incident of chafing ever since I started using it. I now run to keep my weight in check, and even in such extreme conditions, it protects my skin. If you struggle with chafing, and particularly if you plan on physically exerting yourself in heat and humidity, this is the product you want. I honestly can't find a single con to using it.",high_star_low_vader
Beauty,2018,5.0,-0.9148,101,"I dropped and shattered my bottle that I had gotten in 2008 and I was so sad, I had to rebuy. For those of you wondering if this is the read deal - yes! I dropped and shattered my bottle that I had gotten in 2008 and I was so sad, I had to rebuy. I didn't even realize I was ordering the larger version so now I'll have it forever basically. It also smells exactly the same as my old one - some liquid was left inside the bottle so I compared the scents when my new one showed up.",high_star_low_vader
Beauty,2018,4.0,-0.7925,9,"Nothing special. Okay quality. Nothing special, but not great",high_star_low_vader
Beauty,2023,4.0,-0.5859,29,Decent. Wigs styled and blended with my hair. Top was cut weird so that hairs stick up. Other than that the wigs I'd decent on hot stress less days.,high_star_low_vader
Beauty,2018,5.0,-0.5267,12,Healing lotion. Healed my horribly dry skin. Last lotion I will buy.,high_star_low_vader
Beauty,2022,5.0,-0.5023,19,The vials are small. Thought these were gonna be regular sized polishes but I was mistaken we shall see,high_star_low_vader
Beauty,2023,5.0,-0.891,69,This is the only soap I use. Great body wash but this is the second time I have gotten it delivered with damages. First time the lids were unscrewed and the body wash had leaked all in the box. This time one of the lids was broken. This has got to get better. I hate that I can't find it in any store so I have to order it.,high_star_low_vader
Beauty,2017,4.0,-0.9461,63,"love the product but there is a problem with the .... love the product but there is a problem with the packaging. The bottle pumps sporatically, it is very difficult to get out of the bottle. This may be a random problem, but it is disappointing and very frustrating. Please correct this problem and replace the defective products for your customers. Thank you",high_star_low_vader
Beauty,2021,4.0,-0.7269,39,Broke easily. Not that comfy either. I wasted money. Bought it in march and broken now in aug.. Easy to assemble but not comfy and it broke already. The pull thing to put feet up litterly just came out.,high_star_low_vader
