word,y_i,y_j,alpha,delta,sigma2,z,distinctive_of
great,29814,1242,31056.0,0.19882903621620418,4.739012353568776e-05,28.882573483688436,Positive (4-5★)
love,23529,651,24180.0,0.21766981016282738,6.123264613818653e-05,27.816769043089554,Positive (4-5★)
works,9931,517,10448.0,0.1828129640771694,0.00014026939160903613,15.435671719453177,Positive (4-5★)
perfect,6237,125,6362.0,0.22660060156354156,0.00023352584145254496,14.828375857947375,Positive (4-5★)
easy,7679,338,8017.0,0.19338534778060357,0.0001833993085866655,14.279885290652054,Positive (4-5★)
best,6836,243,7079.0,0.2048735591930395,0.00020843960036366266,14.190437865730873,Positive (4-5★)
nice,8222,529,8751.0,0.16655920625377618,0.00016667572432484048,12.901270078447721,Positive (4-5★)
amazing,4871,124,4995.0,0.21874987497241172,0.00029670885430306245,12.699381213752941,Positive (4-5★)
stars,10027,816,10843.0,0.14509000103239256,0.00013368631770738958,12.54856322666726,Positive (4-5★)
great product,4156,85,4241.0,0.22577951497143545,0.0003502505765796747,12.064104940668372,Positive (4-5★)
soft,5120,314,5434.0,0.1701888590768137,0.00026872436140133076,10.381918304691999,Positive (4-5★)
good,16112,2093,18205.0,0.08799393700349345,7.840601387779124e-05,9.937521051790654,Positive (4-5★)
works great,2747,52,2799.0,0.22780005736387654,0.0005310642547904247,9.885082398516406,Positive (4-5★)
price,6279,533,6812.0,0.14045853687837884,0.00021253539721608373,9.634573731537765,Positive (4-5★)
easy use,2801,81,2882.0,0.2136599050735004,0.0005134591809156143,9.429096257247481,Positive (4-5★)
awesome,2421,46,2467.0,0.22766201347803872,0.0006025134114389137,9.274856806364303,Positive (4-5★)
excellent,2134,33,2167.0,0.23271823464625818,0.0006870495233666589,8.878434446553825,Positive (4-5★)
skin,11926,1535,13461.0,0.08913025210678782,0.00010607468828520105,8.65404706608473,Positive (4-5★)
love love,1729,7,1736.0,0.24939779985892763,0.0008623237538900189,8.492928016340953,Positive (4-5★)
highly recommend,1668,7,1675.0,0.24917044059184423,0.0008936628367508304,8.335078053456265,Positive (4-5★)
loves,1641,13,1654.0,0.2436591708349436,0.0009033701605657624,8.106808074651383,Positive (4-5★)
highly,2216,78,2294.0,0.20487596121911977,0.0006433146502245338,8.077543087255645,Positive (4-5★)
favorite,2290,90,2380.0,0.19925545474780915,0.0006189910619077755,8.008810732332092,Positive (4-5★)
stars love,1359,5,1364.0,0.24990202963730024,0.0010977022024058777,7.5427118266800335,Positive (4-5★)
beautiful,2455,137,2592.0,0.1771666564244221,0.0005645720988555871,7.45628128582312,Positive (4-5★)
cheap,688,715,1403.0,-0.4510727550295419,0.0009503836081520289,-14.631778827097031,Negative (1-2★)
refund,21,275,296.0,-1.0265595132668217,0.004905887617605948,-14.656333354724417,Negative (1-2★)
didn work,83,347,430.0,-0.8532703410994511,0.0032363190257927096,-14.998954477393873,Negative (1-2★)
don buy,37,333,370.0,-0.9846471639577601,0.0038794775636880902,-15.808621887976862,Negative (1-2★)
awful,89,389,478.0,-0.8628089236922962,0.0029170709678206794,-15.97500970645429,Negative (1-2★)
poor,73,382,455.0,-0.8988549846475182,0.003088682524166395,-16.173462121432696,Negative (1-2★)
don,4735,2447,7182.0,-0.22555544438143826,0.00018776668090966325,-16.46053890949732,Negative (1-2★)
worst,58,381,439.0,-0.9388427866522155,0.0032315846297295975,-16.51524827708608,Negative (1-2★)
doesn work,81,409,490.0,-0.8920355645911267,0.002863660537394147,-16.669455047197687,Negative (1-2★)
bad,1072,1023,2095.0,-0.422779865330539,0.0006364746454223548,-16.758060044810488,Negative (1-2★)
returned,53,394,447.0,-0.9581201271339328,0.0031890606420927467,-16.966355966816483,Negative (1-2★)
don waste,31,375,406.0,-1.0187703060687916,0.0035687392505647573,-17.053709841015966,Negative (1-2★)
broken,320,623,943.0,-0.653270123705699,0.0014303352414581836,-17.27324278326325,Negative (1-2★)
work,3698,2155,5853.0,-0.2624966218681264,0.0002295762032962326,-17.324483035814826,Negative (1-2★)
did,2811,1832,4643.0,-0.29782234986749234,0.000288596312207796,-17.53121021484681,Negative (1-2★)
didn,2241,1737,3978.0,-0.35412523676153906,0.0003357756836111839,-19.32556754304079,Negative (1-2★)
terrible,120,599,719.0,-0.8899062282594539,0.0019506204546564394,-20.14920239545527,Negative (1-2★)
broke,218,703,921.0,-0.793035528683796,0.0014937266723467565,-20.5190418173567,Negative (1-2★)
horrible,118,633,751.0,-0.9036560365825199,0.00187329133879218,-20.878557575696863,Negative (1-2★)
return,147,885,1032.0,-0.9245022881999585,0.0013698248296678574,-24.979024466336227,Negative (1-2★)
star,366,1087,1453.0,-0.7723739041784876,0.0009434533987264786,-25.14591049559798,Negative (1-2★)
money,1505,2011,3516.0,-0.5349047567758074,0.0003800934933420758,-27.436660060697992,Negative (1-2★)
waste money,32,1058,1090.0,-1.0879455444467894,0.0013568149453788625,-29.535671464358156,Negative (1-2★)
disappointed,436,1533,1969.0,-0.814529232475544,0.000701351529449759,-30.756633745344846,Negative (1-2★)
waste,126,1347,1473.0,-1.0060344129331442,0.0009800007983713226,-32.13657741005935,Negative (1-2★)
