word,y_i,y_j,alpha,delta,sigma2,z,distinctive_of
great,37274,1302,38576.0,0.20481152037552164,3.826039889692567e-05,33.11155941517382,Positive (4-5★)
love,12811,306,13117.0,0.2178811733416639,0.0001130673373675577,20.49043238344556,Positive (4-5★)
easy,12530,471,13001.0,0.19868277580585492,0.00011339609869274473,18.65783131420286,Positive (4-5★)
perfect,9289,135,9424.0,0.2309441137593966,0.0001580522391608781,18.36989064841712,Positive (4-5★)
good,19236,1733,20969.0,0.1310294024187426,6.892151076100592e-05,15.783065761331503,Positive (4-5★)
stars,11645,669,12314.0,0.1718923436184907,0.00011876176938473645,15.77314163972163,Positive (4-5★)
nice,9567,546,10113.0,0.17221195690695357,0.0001446304394088129,14.319684485075339,Positive (4-5★)
works,8068,430,8498.0,0.1770624335158013,0.00017237177065605288,13.486316803751585,Positive (4-5★)
price,7907,546,8453.0,0.1565452415252384,0.00017224815253854612,11.927861418728323,Positive (4-5★)
great product,3488,35,3523.0,0.2368678015934158,0.0004236897787456618,11.507527880907599,Positive (4-5★)
comfortable,5314,244,5558.0,0.1866715096006537,0.0002643337571804805,11.48158182234839,Positive (4-5★)
awesome,3449,60,3509.0,0.22617431776742603,0.0004239099891749327,10.985161943946592,Positive (4-5★)
loves,2954,28,2982.0,0.23762310471255077,0.0005006895254811008,10.619508404353663,Positive (4-5★)
excellent,3202,60,3262.0,0.22422020673911724,0.0004557264501284566,10.503224077611476,Positive (4-5★)
best,3953,172,4125.0,0.18979175639321078,0.0003565135207500664,10.051695928348336,Positive (4-5★)
fits,3896,172,4068.0,0.18892601496160566,0.00036141409929588814,9.937776345997532,Positive (4-5★)
works great,2701,52,2753.0,0.22343068851039405,0.0005398579073593633,9.616191210637838,Positive (4-5★)
sturdy,3908,233,4141.0,0.16839551613861126,0.00035286272131889026,8.964532247348943,Positive (4-5★)
value,2363,60,2423.0,0.21466864029233435,0.0006116813723204965,8.679725246707601,Positive (4-5★)
stars great,1724,7,1731.0,0.24548346740382065,0.0008648095936743833,8.347607096523612,Positive (4-5★)
perfectly,2267,66,2333.0,0.20943098411015448,0.0006342316544937203,8.31604779192644,Positive (4-5★)
good quality,2699,118,2817.0,0.18939375417289472,0.0005220062929832125,8.289489455201561,Positive (4-5★)
easy use,2066,46,2112.0,0.21906510536954027,0.0007027410004565155,8.263719333288345,Positive (4-5★)
little,6164,607,6771.0,0.12001613568156522,0.00021284771125054132,8.226311428079514,Positive (4-5★)
highly,2175,60,2235.0,0.21156111266653355,0.0006624872171090659,8.21953200833175,Positive (4-5★)
garbage,37,315,352.0,-0.9811808756591809,0.004069944462216192,-15.379946800694157,Negative (1-2★)
don't waste,28,309,337.0,-1.0128700564203328,0.004287713643496331,-15.468237999810256,Negative (1-2★)
months,937,877,1814.0,-0.42012444821699635,0.0007351132475593145,-15.495330025298797,Negative (1-2★)
broken,311,549,860.0,-0.627089708931261,0.0015636941729360904,-15.858195400338017,Negative (1-2★)
don't buy,46,348,394.0,-0.9645618633780444,0.003620436167605979,-16.030594902019065,Negative (1-2★)
useless,93,393,486.0,-0.8594891540758169,0.002864772144511839,-16.058144369570254,Negative (1-2★)
does not,915,914,1829.0,-0.4418345616051429,0.0007289958324874661,-16.364289797776422,Negative (1-2★)
money,2124,1501,3625.0,-0.32768290661743293,0.0003690271805570081,-17.057862514444892,Negative (1-2★)
terrible,96,440,536.0,-0.8766055290562553,0.0026068686449470845,-17.168985400965997,Negative (1-2★)
returned,167,506,673.0,-0.7810805452471508,0.002038652611171695,-17.299127790334822,Negative (1-2★)
not recommend,51,403,454.0,-0.9708966223877598,0.0031470591633259008,-17.30694989942643,Negative (1-2★)
apart,352,651,1003.0,-0.6415142772843536,0.001342602301476461,-17.50784256395751,Negative (1-2★)
star,590,808,1398.0,-0.5462300411237848,0.0009563272654968798,-17.663319003414703,Negative (1-2★)
junk,64,463,527.0,-0.9579376785149609,0.002702148387427575,-18.42818903022234,Negative (1-2★)
not buy,45,453,498.0,-1.0024501800254253,0.0028931453369817174,-18.637071557331815,Negative (1-2★)
poor quality,14,426,440.0,-1.0878218395805241,0.0033573775828916177,-18.774037477381988,Negative (1-2★)
not worth,33,492,525.0,-1.0423217993745189,0.0027753988644653787,-19.785139543612807,Negative (1-2★)
cheap,999,1188,2187.0,-0.4999698589631505,0.0006101694915254237,-20.24037613041643,Negative (1-2★)
waste money,33,649,682.0,-1.0635583420421266,0.0021499161995029766,-22.937736123354544,Negative (1-2★)
poor,119,790,909.0,-0.9446476381828184,0.0015613441644547147,-23.906748945965198,Negative (1-2★)
waste,98,875,973.0,-0.9877835357549172,0.0014748323571852984,-25.721154286106525,Negative (1-2★)
return,335,1095,1430.0,-0.8004567787836105,0.000962611841920736,-25.799559259056892,Negative (1-2★)
disappointed,372,1134,1506.0,-0.7829552019432047,0.0009112692419401686,-25.936630679481507,Negative (1-2★)
broke,485,1563,2048.0,-0.7971880694571656,0.0006717203858937407,-30.758597292159532,Negative (1-2★)
not,14778,10828,25606.0,-0.34318262425957435,5.22091723592503e-05,-47.49543685162793,Negative (1-2★)
